Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
					Viet Nam	Coal	417	3	9.8
					China	Other general industrial machinery	436	108	9.7
					North Korea	Agriculture	89	17	9.2
					Indonesia	Crude petroleum and natural gas	236	0	8.9
					Malaysia	Fish etc.	672	8	8.8
					Malaysia	Buildings & constructions	671	2	8.4
					Papua New Guinea	Agriculture	68	28	8.3
					Peru	Services to Companies	426	37	8.2
					New Zealand	Services to agriculture, hunting and trapping	343	27	8.1
					China	Pipeline transport	35	0	7.9
					Qatar	Mining and Quarrying	126	0	7.4
					Thailand	Coffee and Tea	256	18	7.3
					Oman	Transport	264	2	7.3
					Singapore	Electricity	541	0	7.3
					North Korea	Mining and Quarrying	80	9	7.2
					China	Water freight and passangers transport	101	22	7.2
					Chile	Business service activities	218	6	7.1
					China	Culture and arts, radio, film and television	248	82	6.7
					Russia	Other Business Activities	385	19	6.4
					Mongolia	Mining and Quarrying	129	7	6.4
					Russia	Agriculture, hunting, forestry and fishing	298	25	6.4
					Mozambique	Agriculture	184	14	6.4
					Japan	Coal products	481	1	6.1
					China	Air passenger transport	137	8	6.1
					Japan	Ferro alloys	569	16	6.1
					Philippines	Forestry	64	3	5.7
					Japan	Agricultural services (except veterinary service)	510	1	5.6
					China	Air freight transport	137	8	5.4
					Malaysia	Crude petrol, natural gas &coal	217	0	5.3
					India	Animal services(agricultural)	410	2	5.2
					India	Iron ore	382	2	5.2
					Thailand	Petroleum and Natural Gas	217	1	5.2
					Yemen	Construction	397	3	5.1
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	178	18	5
					Singapore	Other manufacturing	204	0	5
					Kuwait	Crude petroleum & Natural gas production	173	0	5
					Malaysia	Transport	263	28	4.9
					Australia	Crude oil	237	4	4.8
					Portugal	Forestry, logging and related service activities	91	11	4.7
					South Africa	Transportservices	195	21	4.6
					Angola	Transport	76	11	4.5
					Ecuador	Other Business	257	2	4.4
					Canada	Agriculture, hunting, forestry and fishing	149	53	4.2
					Taiwan	Forestry	54	4	4.1
					Japan	Petroleum refinery products (inc. greases)	180	3	3.8
					Angola	Agriculture	186	19	3.7
					UAE	Mining and Quarrying	135	0	3.7
					Congo	Agriculture	129	6	3.7
					Belgium	Forestry, logging and related service activities	64	8	3.6
					Congo	Transport	69	11	3.6
					Bolivia	SERVICES TO BUSINESSES	148	26	3.5
					Kyrgyzstan	Fishery and fish breeding	68	7	3.4
					Yemen	Electricity, Gas and Water	337	0	3.4
					Ethiopia	Mining and Quarrying	30	0	3.3
					Ethiopia	Fishing	98	14	3.3
					France	Forestry, logging and related service activities	130	13	3.2
					Hong Kong	machinery and equipment	178	17	3.1
					Oman	Electricity, Gas and Water	183	1	3
					Mongolia	Transport	57	3	3
					Philippines	Crude petroleum and natural gas	220	0	3
					Yemen	Transport	69	10	2.9
					Iraq	Mining and Quarrying	128	1	2.8
					Angola	Construction	104	26	2.8
					Iran	Agricultural & animal husbandry service activities	159	0	2.8
					USA	Logging 	164	22	2.7
					China	Railway freight transport	102	23	2.6
					Zambia	Metal Products	164	7	2.6
					Malaysia	Rubber primary products	87	8	2.5
					Kenya	Forestry	166	6	2.5
					Sri Lanka	Agriculture	122	9	2.5
					Brunei	Transport	123	12	2.5
					Sri Lanka	Mining and Quarrying	112	0	2.4
					Hong Kong	trade and transport	110	11	2.4
					Singapore	Other agriculture	100	7	2.4
					Ethiopia	Construction	122	25	2.3
					Liberia	Agriculture	121	8	2.3
					Denmark	Forestry	63	7	2.3
					Malaysia	Forestry & logging products	96	9	2.2
					Brunei	Mining and Quarrying	120	7	2.2
					Taiwan	Energy Minerals	162	0	2.2
					Congo	Construction	99	23	2.1
					South Korea	Transportation and warehousing	90	3	2.1
					Hong Kong	forestry	57	4	2.1
					Turkmenistan	Agriculture	113	4	2.1
					Chile	Copper Mining	61	1	2
					Israel	Extraction of crude petroleumand natural gas	114	1	2
					UK	Hunting, trapping and game propagation, including related service activities	124	0	2
					Mongolia	Agriculture	92	9	2
					China	Chemical fibers	110	34	1.9
					North Korea	Transport	66	3	1.9
					Romania	Forestry, logging and related service activities	95	10	1.8
					Indonesia	Transportation	121	5	1.6
					Gabon	Fishing	101	30	1.6
					Papua New Guinea	Transport	85	9	1.6
					Kazakhstan	Transport	71	4	1.6
					Nigeria	Agriculture	106	2	1.6
					China	Livestock and livestock products	78	30	1.5
					Gabon	Mining and Quarrying	28	1	1.5
					Japan	Activities not elsewhere classified	91	9	1.5
					China	Electricity and steam production and supply 	2	5	1.4
					New Caledonia	Transport	86	9	1.4
					South Korea	Nonmetallic minerals	40	1	1.4
					South Korea	Chemical fibers	64	7	1.4
					Denmark	Agricultural services, landscape gardeners etc.	100	2	1.4
					Namibia	Mining and Quarrying	26	1	1.4
					Gabon	Transport	50	14	1.4
					New Zealand	Forestry	34	0	1.3
					Australia	Air and space transport	99	15	1.2
					Kyrgyzstan	Hunting and Forestry	47	1	1.2
					Seychelles	Fishing	77	19	1.2
					Cote dIvoire	Agriculture	71	0	1.1
					North Korea	Construction	59	11	1.1
					Malaysia	Oil Palm primary products	95	6	1.1
					Zambia	Transport	49	3	1.1
					Bangladesh	Agriculture	56	1	1.1
					Belarus	Transport	66	4	1
					Finland	Forestry, logging and related service activities	59	7	1
					Brazil	Iron ore	30	7	1
					Oman	Agriculture	41	1	1
					Kazakhstan	Forestry	59	1	1
					Slovakia	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	32	12	0.9
					Pakistan	Agriculture	56	1	0.9
					Bahrain	Mining and Quarrying	42	0	0.9
					North Korea	Metal Products	58	6	0.9
					Ghana	Mining and Quarrying	23	1	0.9
					Russia	Air transport	69	2	0.8
					South Korea	Metal ores	24	0	0.8
					Mauritania	Mining and Quarrying	28	0	0.8
					Peru	Mineral Products	14	0	0.8
					Russia	Mining and quarrying (energy)	43	10	0.7
					New Zealand	Logging	19	0	0.7
					Guinea	Mining and Quarrying	23	1	0.7
					Brunei	Construction	49	3	0.7
					Uruguay	Services rendered to companies	43	1	0.7
					Zambia	Mining and Quarrying	16	0	0.6
					Papua New Guinea	Fishing	36	2	0.6
					Moldova	Agriculture	29	3	0.6
					Myanmar	Fishing	44	3	0.6
					Rwanda	Mining and Quarrying	15	0	0.6
					Georgia	Real estate, renting and business activities	43	0	0.6
					Hong Kong	oil	10	0	0.6
					Armenia	Mining and Quarrying	20	3	0.6
					Taiwan	Agricultural Services	37	0	0.5
					Moldova	Fishing	29	2	0.5
					Sweden	Forestry, logging and related service activities	29	0	0.5
					South Korea	Coal mining	18	0	0.5
					Qatar	Transport	38	2	0.5
					Sweden	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	32	0	0.5
					Portugal	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	27	5	0.5
					Pakistan	Mining and Quarrying	40	0	0.5
					Congo	Metal Products	28	5	0.5
					South Africa	Agriculture	36	3	0.5
					Nigeria	Mining and Quarrying	24	0	0.5
					Switzerland	Mining and quarrying 	25	4	0.4
					Luxembourg	Fishing	29	4	0.4
					Iran	Extraction of crude petrolum & natural gas	36	0	0.4
					Liberia	Transport	29	5	0.4
					Zimbabwe	Fishing	29	4	0.4
					Belarus	Fishing	28	1	0.4
					Bolivia	FORESTRY, HUNTING AND FISHING	31	3	0.4
					Uruguay	Mining and quarrying	7	1	0.4
					Argentina	Agricultural services	32	1	0.4
					Kazakhstan	Coal	13	3	0.4
					Canada	Other Business Activities	27	3	0.4
					Sweden	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	21	2	0.4
					China	Railway passenger transport	24	1	0.4
					Italy	Forestry, logging and related service activities	25	1	0.4
					New Zealand	Fishing	30	0	0.4
					France	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	25	5	0.4
					Japan	Copper	29	3	0.4
					Japan	Crude steel (electric furnaces)	29	3	0.4
					Tanzania	Agriculture	21	1	0.4
					Vanuatu	Fishing	26	1	0.4
					Norway	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	26	2	0.4
					Australia	Softwoods	14	1	0.3
					India	Forestry and logging	22	1	0.3
					Belarus	Mining and Quarrying	22	4	0.3
					Ethiopia	Transport	28	0	0.3
					Finland	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	20	2	0.3
					Austria	Forestry, logging and related service activities	22	1	0.3
					Luxembourg	Transport	19	2	0.3
					Belgium	Agriculture, hunting and related service activities	18	0	0.3
					Kyrgyzstan	Auxiliary transport activities	22	0	0.3
					Hungary	Forestry, logging and related service activities	20	1	0.3
					UK	Agricultural service activities, landscape gardening Change of title for SIC(2003) 	19	2	0.3
					Belarus	Construction	18	5	0.3
					Kazakhstan	Combustible Shales	21	1	0.3
					Brunei	Agriculture	19	1	0.3
					China	Iron-smelting 	21	2	0.3
					Liechtenstein	Fishing	20	0	0.3
					China	Chemicals for painting, dying and others	21	2	0.3
					Czech Republic	Forestry, logging and related service activities	21	1	0.3
					Congo	Fishing	18	6	0.3
					Cameroon	Mining and Quarrying	16	0	0.3
					Bolivia	METAL AND NON-METALLIC MINERALS	9	1	0.3
					Malta	Forestry, logging and related service activities	14	0	0.3
					Netherlands	Agriculture, hunting and related service activities	18	0	0.3
					DR Congo	Mining and Quarrying	14	0	0.3
					Moldova	Mining and Quarrying	20	4	0.3
					China	Plastic products	21	2	0.3
					Belarus	Agriculture	12	1	0.3
					China	Steel-smelting 	21	2	0.3
					Italy	Other mining and quarrying	2	5	0.3
					Kazakhstan	Gas & Gas Products	21	1	0.3
					Estonia	Forestry, logging and related service activities	16	0	0.3
					Mongolia	Construction	17	2	0.3
					Laos	Fishing	20	2	0.2
					Kazakhstan	Fire Resistant Mater.	13	3	0.2
					Switzerland	Land transport, transport via pipelines, Water transport, Air transport	16	0	0.2
					Suriname	Agriculture	14	1	0.2
					Luxembourg	Mining and Quarrying	18	2	0.2
					Slovakia	Forestry, logging and related service activities	21	1	0.2
					Brazil	Transport and postal services	18	2	0.2
					Poland	Forestry, logging and related service activities	19	1	0.2
					USA	Oil and gas extraction 	16	3	0.2
					Ghana	Agriculture	12	1	0.2
					French Polynesia	Fishing	17	0	0.2
					New Zealand	Road freight transport	14	0	0.2
					Australia	Pipeline transport	15	0	0.2
					Japan	Self-transport by private cars (passengers)	8	2	0.2
					Latvia	Forestry, logging and related service activities	17	0	0.2
					Moldova	Transport	12	1	0.2
					Monaco	Fishing	12	1	0.2
					Finland	Land transport, transport via pipelines	14	0	0.2
					Greenland	Accounting and business services	14	0	0.2
					Zimbabwe	Agriculture	14	0	0.2
					Chad	Agriculture	12	1	0.2
					Angola	Electricity, Gas and Water	10	0	0.2
					Belgium	Other mining and quarrying	2	1	0.2
					Norway	Other mining and quarrying	2	1	0.2
					North Korea	Electricity, Gas and Water	6	1	0.2
					Myanmar	Transport	11	0	0.2
					Kyrgyzstan	Irrigation water supply	11	0	0.2
					Belize	Fishing	14	0	0.2
					Singapore	Other freight transport	12	0	0.2
					Trinidad and Tobago	Mining and Quarrying	10	0	0.1
					Algeria	Mining and Quarrying	10	0	0.1
					Kyrgyzstan	Chemicalization service	11	0	0.1
					Mongolia	Electricity, Gas and Water	8	1	0.1
					Russia	Land transport, transport via pipelines	12	0	0.1
					Belarus	Education, Health and Other Services	9	2	0.1
					Yemen	Agriculture	10	0	0.1
					Aruba	Fishing	8	0	0.1
					Luxembourg	Electricity, Gas and Water	11	0	0.1
					UK	Forestry and logging related service activities	7	5	0.1
					Libya	Mining and Quarrying	10	0	0.1
					Thailand	Other Forestry Products	10	1	0.1
					Syria	Mining and Quarrying	7	1	0.1
					Luxembourg	Agriculture	7	0	0.1
					Venezuela	Crude oil and natural gas	9	0	0.1
					Spain	Other mining and quarrying	1	5	0.1
					Kyrgyzstan	Other Agri. Services	9	0	0.1
					Hong Kong	other minerals	3	0	0.1
					France	Other mining and quarrying	3	3	0.1
					Central African Republic	Agriculture	8	0	0.1
					Cambodia	Fishing	9	0	0.1
					Malawi	Agriculture	7	1	0.1
					Zambia	Electricity, Gas and Water	6	0	0.1
					Togo	Mining and Quarrying	7	0	0.1
					Central African Republic	Mining and Quarrying	9	0	0.1
					Djibouti	Agriculture	7	0	0.1
					New Zealand	Oil & gas extraction	7	0	0.1
					Sao Tome and Principe	Fishing	7	1	0.1
					UK	Animal husbandry service activities, except veterinary activities	9	0	0.1
					Denmark	Agriculture	6	0	0.1
					Australia	Forestry	5	1	0.1
					Zambia	Agriculture	6	1	0.1
					Ethiopia	Electricity, Gas and Water	6	0	0.1
					Georgia	Fishing and fish farming	7	0	0.1
					TFYR Macedonia	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	7	0	0.1
					Angola	Fishing	6	0	0.1
					Germany	Road and pipeline transport	7	0	0.1
					Congo	Electricity, Gas and Water	5	0	0.1
					Chile	Forestry	5	0	0.1
					Austria	Land transport, transport via pipelines	7	0	0.1
					Singapore	Water transport	7	0	0.1
					Hong Kong	electricity water and gas	3	0	0.1
					Kazakhstan	Agriculture	5	1	0.1
					Germany	Quarrying of stone and soil	5	2	0.1
					Mauritania	Agriculture	5	0	0.1
					Ecuador	Forestry and logging	6	0	0.1
					Belgium	Land transport, transport via pipelines	6	0	0.1
					Oman	Construction	6	0	0.1
					Germany	Crude oil and natural gas	4	0	0.1
					Morocco	Mining and Quarrying	4	0	0.1
					Cape Verde	Fishing	5	0	0.1
					Iceland	Agriculture	4	0	0.1
					Iran	Collection, purification & distribution of water	6	0	0.1
					Sweden	Land transport, transport via pipelines	6	0	0.1
					South Korea	Fishery products	4	1	0.1
					China	Cement and cement asbestos products	5	0	0.1
					Finland	Other mining and quarrying	3	1	0.1
					Portugal	Other mining and quarrying	1	1	0.1
					South Korea	Electric services	1	0	0.1
					Turkey	Other mining and quarrying	2	2	0.1
					Kyrgyzstan	Insurance and others	6	0	0.1
					Mongolia	Fishing	5	0	0.1
					New Zealand	Services to forestry	5	0	0.1
					China	Other transport machinery	5	0	0.1
					China	Nonferrous metal smelting	5	0	0.1
					China	Metalworking machinery	5	0	0.1
					Netherlands	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0.1
					Armenia	Fishing	5	0	0.1
					Mexico	Services related to agriculture and forestry	5	0	0.1
					Saudi Arabia	Transport	4	0	0.1
					South Sudan	Fishing	4	0	0.1
					Kyrgyzstan	Air transport	5	0	0.1
					Latvia	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0.1
					China	Boiler, engines and turbine	5	0	0.1
					Switzerland	Agriculture, hunting, forestry, logging, fishing,fish farming and related service activities	4	0	0.1
					China	Paper and products	5	0	0.1
					Netherlands	Other mining and quarrying	2	1	0.1
					Lithuania	Other mining and quarrying	3	1	0.1
					Kazakhstan	Power	1	1	0.1
					Uruguay	Fishing	4	0	0.1
					Peru	Transport service and Communications	4	0	0.1
					Brazil	Crude oil and natural gas	4	0	0
					Cambodia	Transport	4	0	0
					Sweden	Mining of metal ores	1	1	0
					Denmark	Extr. of crude petroleum, natural gas etc.	3	0	0
					Belgium	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Russia	Production, collection and distribution of electricity	3	1	0
					UAE	Transport	4	0	0
					Azerbaijan	Mining and Quarrying	3	0	0
					Ukraine	Gas & Gas Products	3	0	0
					Slovenia	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Germany	Agriculture and hunting	3	0	0
					Paraguay	BUSINESS SERVICES	3	1	0
					Mongolia	Metal Products	3	0	0
					Canada	Mining and quarrying (energy)	3	0	0
					Costa Rica	Agriculture	4	0	0
					Turkmenistan	Mining and Quarrying	3	0	0
					Belarus	Electricity, Gas and Water	3	0	0
					Bahrain	Transport	3	0	0
					Maldives	Fishing	4	0	0
					Eritrea	Fishing	4	0	0
					Czech Republic	Agriculture, hunting and related service activities	3	0	0
					Iran	Quarrying of stone, sand & clay 	2	1	0
					Antigua	Fishing	3	0	0
					Malta	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	2	0	0
					Poland	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Ireland	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					UK	Extraction of crude petroleum	3	0	0
					Austria	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Aruba	Agriculture	3	0	0
					Kuwait	Petroleum refineries	3	0	0
					Bulgaria	Mining and Quarrying	3	0	0
					Sao Tome and Principe	Agriculture	3	0	0
					New Zealand	Other mining and quarrying	2	0	0
					Czech Republic	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Algeria	Transport	3	0	0
					Iraq	Transport	3	0	0
					Samoa	Fishing	3	0	0
					Kenya	Quarrying and Mining	3	0	0
					Ethiopia	Education, Health and Other Services	2	1	0
					Libya	Transport	3	0	0
					Guinea	Transport	3	0	0
					Laos	Transport	3	0	0
					Brunei	Fishing	3	0	0
					Switzerland	Electricity, gas, steam and hot water supply, Collection, purification and distribution of water	2	0	0
					Djibouti	Fishing	3	0	0
					Malta	Manufacture of radio, television and communication equipment and apparatus	2	0	0
					Bulgaria	Agriculture	2	0	0
					Brazil	Other minerals and ores	2	0	0
					Morocco	Agriculture	2	0	0
					Philippines	Transportation	2	0	0
					New Zealand	Coal mining	2	0	0
					India	Crude petroleum, natural gas	2	0	0
					Russia	Water transport	2	0	0
					Germany	Fishing	2	0	0
					Ukraine	Forestry	1	1	0
					UK	Forestry and logging (sustainable/FSC)	2	0	0
					Denmark	Fishing	2	0	0
					France	Agriculture, hunting and related service activities	2	0	0
					Czech Republic	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Slovenia	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Belgium	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Iceland	Fishing	2	0	0
					Japan	Coastal and inland water transport	2	0	0
					Senegal	Agriculture	2	0	0
					Congo	Education, Health and Other Services	2	0	0
					South Korea	Forestry products	1	1	0
					Bolivia	TRANSPORT AND STORAGE	2	0	0
					India	Other non metallic minerals	2	0	0
					Angola	Education, Health and Other Services	1	1	0
					Egypt	Agriculture	1	0	0
					Hong Kong	chemicals rubbers and plastics	2	0	0
					Jordan	Mining and Quarrying	2	0	0
					Chile	Oil Extraction	1	0	0
					Japan	Road freight transport	1	0	0
					Ireland	Agriculture, hunting and related service activities	1	0	0
					Gabon	Electricity, Gas and Water	1	0	0
					Laos	Mining and Quarrying	1	0	0
					New Caledonia	Electricity, Gas and Water	0	1	0
					Kuwait	Land transport	1	0	0
					Belgium	Electricity, gas, steam and hot water supply	1	0	0
					Finland	Agriculture, hunting and related service activities	1	0	0
					New Zealand	Air transport, services to transport and storage	1	0	0
					Kuwait	Water transport	1	0	0
					Israel	Extraction of salts, mining and quarrying 	1	0	0
					Spain	Forestry, logging and related service activities	1	0	0
					Sweden	Agriculture, hunting and related service activities	1	0	0
					Japan	Electric power for enterprise use	1	0	0
					Finland	Electricity, gas, steam and hot water supply	1	0	0
					South Africa	Electricity	1	0	0
					Peru	Crude oil	1	0	0
					Swaziland	Agriculture	1	0	0
					Italy	Agriculture, hunting and related service activities	1	0	0
					British Virgin Islands	Fishing	1	0	0
					Congo	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
					Viet Nam	Transportation	1	0	0
					Singapore	Petroleum & petroleum products	1	0	0
					Taiwan	Other Land Transportation 	1	0	0
					Angola	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
					Seychelles	Agriculture	1	0	0
					Macao SAR	Agriculture	1	0	0
					Namibia	Agriculture	1	0	0
					Syria	Agriculture	1	0	0
					Hong Kong	fisheries	1	0	0
					China	Knitted mills	1	0	0
					China	Rubber products	1	0	0
					Vanuatu	Agriculture	1	0	0
					Mauritania	Fishing	1	0	0
					Bosnia and Herzegovina	Agriculture	1	0	0
					Malta	Land transport, transport via pipelines	1	0	0
					Namibia	Fishing	1	0	0
					Japan	Rolled and drawn copper and copper alloys	1	0	0
					Tunisia	Agriculture	1	0	0
					Iran	Farming of animals	1	0	0
					Belarus	Metal Products	1	0	0
					Moldova	Construction	1	0	0
					UK	Extraction of natural gas	1	0	0
					Germany	Electricity and district heat	1	0	0
					Japan	Non-ferrous metal scrap	1	0	0
					Australia	Hardwoods	1	0	0
					Cyprus	Agriculture	1	0	0
					Algeria	Agriculture	1	0	0
					Georgia	Mining and quarrying	1	0	0
					Libya	Agriculture	1	0	0
					Japan	Steel pipes and tubes	1	0	0
					Nepal	Agriculture	1	0	0
					China	Glass and glass products	1	0	0
					Albania	Agriculture	1	0	0
					Uzbekistan	Agricultural Service	0	1	0
					Croatia	Agriculture	1	0	0
					UK	Fishing 	1	0	0
					Zimbabwe	Mining and Quarrying	1	0	0
					Bolivia	CRUDE OIL AND NATURAL GAS	1	0	0
					Thailand	Logging	1	0	0
					Norway	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	1	0	0
					Japan	Hot rolled steel	1	0	0
					Sweden	Electricity, gas, steam and hot water supply	1	0	0
					Lithuania	Forestry, logging and related service activities	0	1	0
					Japan	Steel scrap	1	0	0
					Netherlands	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	1	0	0
					Bahrain	Metal Products	1	0	0
India	Construction	3150	511	2500	India	Construction	1643	416	1965.5
					India	Animal services(agricultural)	1865	324	156.6
					Jordan	Mining and Quarrying	334	1	53.1
					India	Other transport services	959	80	51
					India	Electricity	486	15	32.8
					India	Forestry and logging	197	22	29.7
					Kenya	Quarrying and Mining	334	7	25.5
					India	Other non metallic minerals	404	2	20.2
					India	Crude petroleum, natural gas	404	4	16.8
					Malaysia	Stone, clay & sand quarrying	601	1	14.7
					India	Trade	754	49	12.2
					India	Coal and lignite	382	2	11.4
					Israel	Extraction of crude petroleumand natural gas	114	1	9.8
					Thailand	Fluorite	560	0	8.6
					Singapore	Other business & technical services	572	1	7.7
					Tanzania	Mining and Quarrying	399	2	7.4
					Egypt	Mining and Quarrying	332	1	7.1
					Singapore	Other manufacturing	204	0	6
					India	Other crops	233	64	5.4
					Nepal	Agriculture	163	9	4.8
					UAE	Mining and Quarrying	135	0	4.3
					Israel	Photographic activities and other business activities n.e.c.	331	1	4.2
					Bhutan	Metal Products	161	23	4.1
					South Africa	Other mining	130	9	4
					India	Railway transport services	136	22	3.4
					South Africa	Businessactivities	155	4	2.6
					Bhutan	Mining and Quarrying	29	1	2.5
					Bhutan	Agriculture	97	7	2.4
					Bhutan	Transport	59	1	2.3
					Zambia	Mining and Quarrying	16	0	1.9
					Nepal	Transport	87	1	1.8
					India	Iron, steel andferro alloys	111	12	1.7
					Afghanistan	Agriculture	92	4	1.6
					India	Banking	111	12	1.5
					India	Iron and steel foundries	111	12	1.5
					India	Other livestock products	65	11	1.2
					Cote dIvoire	Agriculture	71	0	1.2
					Vanuatu	Transport	40	5	1.1
					India	Fishing	66	8	1
					Morocco	Mining and Quarrying	35	1	0.9
					Myanmar	Agriculture	66	1	0.8
					Bangladesh	Agriculture	56	1	0.7
					South Africa	Transportservices	60	3	0.7
					Nepal	Mining and Quarrying	22	1	0.6
					Bahrain	Mining and Quarrying	42	0	0.6
					Senegal	Mining and Quarrying	21	0	0.5
					Bhutan	Electricity, Gas and Water	17	1	0.5
					Jordan	Transport	31	1	0.4
					India	Cement	24	0	0.3
					Singapore	Other agriculture	19	2	0.3
					Switzerland	Land transport, transport via pipelines, Water transport, Air transport	16	0	0.2
					UK	Operation of gravel and sand pits 	9	2	0.2
					Hong Kong	forestry	12	0	0.2
					Nigeria	Agriculture	13	0	0.2
					Nepal	Metal Products	14	0	0.2
					Belgium	Other mining and quarrying	2	1	0.2
					Bahrain	Transport	12	1	0.2
					India	Rubber	13	1	0.2
					Italy	Other mining and quarrying	2	5	0.2
					Israel	Shore and lake fisheries	9	1	0.1
					Sri Lanka	Agriculture	10	0	0.1
					Gabon	Mining and Quarrying	6	0	0.1
					Pakistan	Agriculture	8	0	0.1
					Madagascar	Agriculture	6	0	0.1
					Kuwait	Business services except machinery & equipment rental & leasing	5	0	0.1
					Switzerland	Mining and quarrying 	4	0	0.1
					Norway	Other mining and quarrying	2	1	0.1
					Bhutan	Petroleum, Chemical and Non-Metallic Mineral Products	4	0	0
					Hong Kong	other minerals	3	0	0
					Israel	Pond culture fisheries	3	0	0
					Bhutan	Fishing	3	0	0
					Pakistan	Mining and Quarrying	3	0	0
